country,period,variable,level,usable_pct,unusable_pct,n
All,2011-2016,Wealth quintile,middle,82.65847595156978,17.341524,59157
All,2011-2016,Wealth quintile,poorer,82.79121376714859,17.208786,69140
All,2011-2016,Wealth quintile,poorest,81.68125461885049,18.318745,78136
All,2011-2016,Wealth quintile,richer,83.26720861885384,16.732792,50228
All,2011-2016,Wealth quintile,richest,82.06098134534967,17.939018,41583
All,2017-2022,Wealth quintile,middle,83.6617062233709,16.338293,51896
All,2017-2022,Wealth quintile,poorer,83.89514423651472,16.104856,62006
All,2017-2022,Wealth quintile,poorest,82.62814670982611,17.371853,71993
All,2017-2022,Wealth quintile,richer,83.7362296076397,16.263771,45547
All,2017-2022,Wealth quintile,richest,81.66746728801265,18.332533,36977
Bangladesh,2011-2016,Wealth quintile,middle,89.16239948548565,10.837601,3177
Bangladesh,2011-2016,Wealth quintile,poorer,87.15236977848913,12.847631,3214
Bangladesh,2011-2016,Wealth quintile,poorest,88.05572486249314,11.944275,3672
Bangladesh,2011-2016,Wealth quintile,richer,87.96881094093544,12.031189,3324
Bangladesh,2011-2016,Wealth quintile,richest,87.66179334001311,12.338206,3252
Bangladesh,2017-2022,Wealth quintile,middle,67.78246107468368,32.217541,3311
Bangladesh,2017-2022,Wealth quintile,poorer,67.3504649201446,32.649536,3533
Bangladesh,2017-2022,Wealth quintile,poorest,68.32748824885209,31.672512,3809
Bangladesh,2017-2022,Wealth quintile,richer,68.21127232992239,31.788727,3423
Bangladesh,2017-2022,Wealth quintile,richest,66.74796921975252,33.252029,3467
India,2011-2016,Wealth quintile,middle,86.43075626330216,13.569243,51742
India,2011-2016,Wealth quintile,poorer,86.68745191031414,13.312548,61423
India,2011-2016,Wealth quintile,poorest,85.29228120137692,14.707719,68694
India,2011-2016,Wealth quintile,richer,87.08478927511867,12.915211,42911
India,2011-2016,Wealth quintile,richest,85.83695279700112,14.163047,34766
India,2017-2022,Wealth quintile,middle,88.19410562162162,11.805895,45067
India,2017-2022,Wealth quintile,poorer,87.89536888120533,12.104631,54462
India,2017-2022,Wealth quintile,poorest,86.56373114260656,13.436269,63406
India,2017-2022,Wealth quintile,richer,88.14517709163817,11.854823,39063
India,2017-2022,Wealth quintile,richest,86.08943981018147,13.910561,30798
Nepal,2011-2016,Wealth quintile,middle,48.30249565164659,51.697506,1981
Nepal,2011-2016,Wealth quintile,poorer,44.15262496083454,55.847374,2154
Nepal,2011-2016,Wealth quintile,poorest,44.26328010717623,55.736721,3022
Nepal,2011-2016,Wealth quintile,richer,46.5255586452438,53.474442,1802
Nepal,2011-2016,Wealth quintile,richest,43.15533205847494,56.844669,1385
Nepal,2017-2022,Wealth quintile,middle,48.70747162290153,51.29253,1008
Nepal,2017-2022,Wealth quintile,poorer,49.80038009368599,50.199619,1106
Nepal,2017-2022,Wealth quintile,poorest,47.06215756141477,52.937843,1871
Nepal,2017-2022,Wealth quintile,richer,47.60202064368501,52.39798,839
Nepal,2017-2022,Wealth quintile,richest,50.78664659803653,49.213352,548
Pakistan,2011-2016,Wealth quintile,middle,26.83196052301328,73.168037,2257
Pakistan,2011-2016,Wealth quintile,poorer,26.88602247647416,73.113976,2349
Pakistan,2011-2016,Wealth quintile,poorest,25.21832663553968,74.78167,2748
Pakistan,2011-2016,Wealth quintile,richer,34.04485638128777,65.955147,2191
Pakistan,2011-2016,Wealth quintile,richest,30.18662557828609,69.813377,2180
Pakistan,2017-2022,Wealth quintile,middle,32.45761264199701,67.542389,2510
Pakistan,2017-2022,Wealth quintile,poorer,34.45822274807283,65.541779,2905
Pakistan,2017-2022,Wealth quintile,poorest,30.14234295131358,69.857658,2907
Pakistan,2017-2022,Wealth quintile,richer,34.9084775939475,65.091522,2222
Pakistan,2017-2022,Wealth quintile,richest,34.40498438542395,65.595016,2164
